Well,buffer.M,buffer.Name,buffer.pH,buffer.NaCl.M
A01,,,,
A02,0.2,Sodium acetate trihydrate,4.5,
A03,0.2,Sodium citrate tribasic dihydrate,5,
A04,0.2,Succinic acid,5.5,
A05,0.2,MES monohydrate,6,
A06,0.2,BIS-TRIS,6.5,
A07,0.2,Imidazole,7,
A08,0.2,HEPES,7.5,
A09,0.2,Tris,8,
A10,0.2,BIS-TRIS Propane,8.5,
A11,0.2,AMPD,9,
A12,0.2,Glycine,9.5,
A13,,,,
A14,0.2,Sodium acetate trihydrate,4.5,
A15,0.2,Sodium citrate tribasic dihydrate,5,
A16,0.2,Succinic acid,5.5,
A17,0.2,MES monohydrate,6,
A18,0.2,BIS-TRIS,6.5,
A19,0.2,Imidazole,7,
A20,0.2,HEPES,7.5,
A21,0.2,Tris,8,
A22,0.2,BIS-TRIS Propane,8.5,
A23,0.2,AMPD,9,
A24,0.2,Glycine,9.5,
B01,,,,0.2
B02,0.2,Sodium acetate trihydrate,4.5,0.2
B03,0.2,Sodium citrate tribasic dihydrate,5,0.2
B04,0.2,Succinic acid,5.5,0.2
B05,0.2,MES monohydrate,6,0.2
B06,0.2,BIS-TRIS,6.5,0.2
B07,0.2,Imidazole,7,0.2
B08,0.2,HEPES,7.5,0.2
B09,0.2,Tris,8,0.2
B10,0.2,BIS-TRIS Propane,8.5,0.2
B11,0.2,AMPD,9,0.2
B12,0.2,Glycine,9.5,0.2
B13,,,,0.2
B14,0.2,Sodium acetate trihydrate,4.5,0.2
B15,0.2,Sodium citrate tribasic dihydrate,5,0.2
B16,0.2,Succinic acid,5.5,0.2
B17,0.2,MES monohydrate,6,0.2
B18,0.2,BIS-TRIS,6.5,0.2
B19,0.2,Imidazole,7,0.2
B20,0.2,HEPES,7.5,0.2
B21,0.2,Tris,8,0.2
B22,0.2,BIS-TRIS Propane,8.5,0.2
B23,0.2,AMPD,9,0.2
B24,0.2,Glycine,9.5,0.2
C01,,,,0.4
C02,0.2,Sodium acetate trihydrate,4.5,0.4
C03,0.2,Sodium citrate tribasic dihydrate,5,0.4
C04,0.2,Succinic acid,5.5,0.4
C05,0.2,MES monohydrate,6,0.4
C06,0.2,BIS-TRIS,6.5,0.4
C07,0.2,Imidazole,7,0.4
C08,0.2,HEPES,7.5,0.4
C09,0.2,Tris,8,0.4
C10,0.2,BIS-TRIS Propane,8.5,0.4
C11,0.2,AMPD,9,0.4
C12,0.2,Glycine,9.5,0.4
C13,,,,0.4
C14,0.2,Sodium acetate trihydrate,4.5,0.4
C15,0.2,Sodium citrate tribasic dihydrate,5,0.4
C16,0.2,Succinic acid,5.5,0.4
C17,0.2,MES monohydrate,6,0.4
C18,0.2,BIS-TRIS,6.5,0.4
C19,0.2,Imidazole,7,0.4
C20,0.2,HEPES,7.5,0.4
C21,0.2,Tris,8,0.4
C22,0.2,BIS-TRIS Propane,8.5,0.4
C23,0.2,AMPD,9,0.4
C24,0.2,Glycine,9.5,0.4
D01,,,,0.6
D02,0.2,Sodium acetate trihydrate,4.5,0.6
D03,0.2,Sodium citrate tribasic dihydrate,5,0.6
D04,0.2,Succinic acid,5.5,0.6
D05,0.2,MES monohydrate,6,0.6
D06,0.2,BIS-TRIS,6.5,0.6
D07,0.2,Imidazole,7,0.6
D08,0.2,HEPES,7.5,0.6
D09,0.2,Tris,8,0.6
D10,0.2,BIS-TRIS Propane,8.5,0.6
D11,0.2,AMPD,9,0.6
D12,0.2,Glycine,9.5,0.6
D13,,,,0.6
D14,0.2,Sodium acetate trihydrate,4.5,0.6
D15,0.2,Sodium citrate tribasic dihydrate,5,0.6
D16,0.2,Succinic acid,5.5,0.6
D17,0.2,MES monohydrate,6,0.6
D18,0.2,BIS-TRIS,6.5,0.6
D19,0.2,Imidazole,7,0.6
D20,0.2,HEPES,7.5,0.6
D21,0.2,Tris,8,0.6
D22,0.2,BIS-TRIS Propane,8.5,0.6
D23,0.2,AMPD,9,0.6
D24,0.2,Glycine,9.5,0.6
E01,,,,0.8
E02,0.2,Sodium acetate trihydrate,4.5,0.8
E03,0.2,Sodium citrate tribasic dihydrate,5,0.8
E04,0.2,Succinic acid,5.5,0.8
E05,0.2,MES monohydrate,6,0.8
E06,0.2,BIS-TRIS,6.5,0.8
E07,0.2,Imidazole,7,0.8
E08,0.2,HEPES,7.5,0.8
E09,0.2,Tris,8,0.8
E10,0.2,BIS-TRIS Propane,8.5,0.8
E11,0.2,AMPD,9,0.8
E12,0.2,Glycine,9.5,0.8
E13,,,,0.8
E14,0.2,Sodium acetate trihydrate,4.5,0.8
E15,0.2,Sodium citrate tribasic dihydrate,5,0.8
E16,0.2,Succinic acid,5.5,0.8
E17,0.2,MES monohydrate,6,0.8
E18,0.2,BIS-TRIS,6.5,0.8
E19,0.2,Imidazole,7,0.8
E20,0.2,HEPES,7.5,0.8
E21,0.2,Tris,8,0.8
E22,0.2,BIS-TRIS Propane,8.5,0.8
E23,0.2,AMPD,9,0.8
E24,0.2,Glycine,9.5,0.8
F01,,,,1
F02,0.2,Sodium acetate trihydrate,4.5,1
F03,0.2,Sodium citrate tribasic dihydrate,5,1
F04,0.2,Succinic acid,5.5,1
F05,0.2,MES monohydrate,6,1
F06,0.2,BIS-TRIS,6.5,1
F07,0.2,Imidazole,7,1
F08,0.2,HEPES,7.5,1
F09,0.2,Tris,8,1
F10,0.2,BIS-TRIS Propane,8.5,1
F11,0.2,AMPD,9,1
F12,0.2,Glycine,9.5,1
F13,,,,1
F14,0.2,Sodium acetate trihydrate,4.5,1
F15,0.2,Sodium citrate tribasic dihydrate,5,1
F16,0.2,Succinic acid,5.5,1
F17,0.2,MES monohydrate,6,1
F18,0.2,BIS-TRIS,6.5,1
F19,0.2,Imidazole,7,1
F20,0.2,HEPES,7.5,1
F21,0.2,Tris,8,1
F22,0.2,BIS-TRIS Propane,8.5,1
F23,0.2,AMPD,9,1
F24,0.2,Glycine,9.5,1
G01,,,,2
G02,0.2,Sodium acetate trihydrate,4.5,2
G03,0.2,Sodium citrate tribasic dihydrate,5,2
G04,0.2,Succinic acid,5.5,2
G05,0.2,MES monohydrate,6,2
G06,0.2,BIS-TRIS,6.5,2
G07,0.2,Imidazole,7,2
G08,0.2,HEPES,7.5,2
G09,0.2,Tris,8,2
G10,0.2,BIS-TRIS Propane,8.5,2
G11,0.2,AMPD,9,2
G12,0.2,Glycine,9.5,2
G13,,,,2
G14,0.2,Sodium acetate trihydrate,4.5,2
G15,0.2,Sodium citrate tribasic dihydrate,5,2
G16,0.2,Succinic acid,5.5,2
G17,0.2,MES monohydrate,6,2
G18,0.2,BIS-TRIS,6.5,2
G19,0.2,Imidazole,7,2
G20,0.2,HEPES,7.5,2
G21,0.2,Tris,8,2
G22,0.2,BIS-TRIS Propane,8.5,2
G23,0.2,AMPD,9,2
G24,0.2,Glycine,9.5,2
H01,,,,4
H02,0.2,Sodium acetate trihydrate,4.5,4
H03,0.2,Sodium citrate tribasic dihydrate,5,4
H04,0.2,Succinic acid,5.5,4
H05,0.2,MES monohydrate,6,4
H06,0.2,BIS-TRIS,6.5,4
H07,0.2,Imidazole,7,4
H08,0.2,HEPES,7.5,4
H09,0.2,Tris,8,4
H10,0.2,BIS-TRIS Propane,8.5,4
H11,0.2,AMPD,9,4
H12,0.2,Glycine,9.5,4
H13,,,,4
H14,0.2,Sodium acetate trihydrate,4.5,4
H15,0.2,Sodium citrate tribasic dihydrate,5,4
H16,0.2,Succinic acid,5.5,4
H17,0.2,MES monohydrate,6,4
H18,0.2,BIS-TRIS,6.5,4
H19,0.2,Imidazole,7,4
H20,0.2,HEPES,7.5,4
H21,0.2,Tris,8,4
H22,0.2,BIS-TRIS Propane,8.5,4
H23,0.2,AMPD,9,4
H24,0.2,Glycine,9.5,4
I01,,,,
I02,0.2,Sodium acetate trihydrate,4.5,
I03,0.2,Sodium citrate tribasic dihydrate,5,
I04,0.2,Succinic acid,5.5,
I05,0.2,MES monohydrate,6,
I06,0.2,BIS-TRIS,6.5,
I07,0.2,Imidazole,7,
I08,0.2,HEPES,7.5,
I09,0.2,Tris,8,
I10,0.2,BIS-TRIS Propane,8.5,
I11,0.2,AMPD,9,
I12,0.2,Glycine,9.5,
I13,,,,
I14,0.2,Sodium acetate trihydrate,4.5,
I15,0.2,Sodium citrate tribasic dihydrate,5,
I16,0.2,Succinic acid,5.5,
I17,0.2,MES monohydrate,6,
I18,0.2,BIS-TRIS,6.5,
I19,0.2,Imidazole,7,
I20,0.2,HEPES,7.5,
I21,0.2,Tris,8,
I22,0.2,BIS-TRIS Propane,8.5,
I23,0.2,AMPD,9,
I24,0.2,Glycine,9.5,
J01,,,,0.2
J02,0.2,Sodium acetate trihydrate,4.5,0.2
J03,0.2,Sodium citrate tribasic dihydrate,5,0.2
J04,0.2,Succinic acid,5.5,0.2
J05,0.2,MES monohydrate,6,0.2
J06,0.2,BIS-TRIS,6.5,0.2
J07,0.2,Imidazole,7,0.2
J08,0.2,HEPES,7.5,0.2
J09,0.2,Tris,8,0.2
J10,0.2,BIS-TRIS Propane,8.5,0.2
J11,0.2,AMPD,9,0.2
J12,0.2,Glycine,9.5,0.2
J13,,,,0.2
J14,0.2,Sodium acetate trihydrate,4.5,0.2
J15,0.2,Sodium citrate tribasic dihydrate,5,0.2
J16,0.2,Succinic acid,5.5,0.2
J17,0.2,MES monohydrate,6,0.2
J18,0.2,BIS-TRIS,6.5,0.2
J19,0.2,Imidazole,7,0.2
J20,0.2,HEPES,7.5,0.2
J21,0.2,Tris,8,0.2
J22,0.2,BIS-TRIS Propane,8.5,0.2
J23,0.2,AMPD,9,0.2
J24,0.2,Glycine,9.5,0.2
K01,,,,0.4
K02,0.2,Sodium acetate trihydrate,4.5,0.4
K03,0.2,Sodium citrate tribasic dihydrate,5,0.4
K04,0.2,Succinic acid,5.5,0.4
K05,0.2,MES monohydrate,6,0.4
K06,0.2,BIS-TRIS,6.5,0.4
K07,0.2,Imidazole,7,0.4
K08,0.2,HEPES,7.5,0.4
K09,0.2,Tris,8,0.4
K10,0.2,BIS-TRIS Propane,8.5,0.4
K11,0.2,AMPD,9,0.4
K12,0.2,Glycine,9.5,0.4
K13,,,,0.4
K14,0.2,Sodium acetate trihydrate,4.5,0.4
K15,0.2,Sodium citrate tribasic dihydrate,5,0.4
K16,0.2,Succinic acid,5.5,0.4
K17,0.2,MES monohydrate,6,0.4
K18,0.2,BIS-TRIS,6.5,0.4
K19,0.2,Imidazole,7,0.4
K20,0.2,HEPES,7.5,0.4
K21,0.2,Tris,8,0.4
K22,0.2,BIS-TRIS Propane,8.5,0.4
K23,0.2,AMPD,9,0.4
