Analysis,Well,Sample,Excluded,Tm,Call,dTm,Slope,Initial,Low,Peak,Message
Program - SYPRO Orange - All Samples,A01,Sample 1,FALSE,66.21418324,Positive,,0.671831906,19.4589273,11.55271773,15.44819683,
Program - SYPRO Orange - All Samples,A02,Sample 2,FALSE,62.15233136,Positive,,0.501001486,24.97359488,18.76369829,22.75972494,
Program - SYPRO Orange - All Samples,A03,Sample 3,FALSE,65.91192841,Positive,,0.602520568,42.95622451,27.80931083,31.1701735,
Program - SYPRO Orange - All Samples,A04,Sample 4,FALSE,66.45118393,Positive,,0.496929112,27.54982298,19.07187879,22.03224482,
Program - SYPRO Orange - All Samples,A05,Sample 5,FALSE,65.57643248,Positive,,0.814971559,40.6553953,28.26996223,33.81813319,
Program - SYPRO Orange - All Samples,A06,Sample 6,FALSE,66.03589538,Positive,,0.373739586,16.2035317,11.26874071,13.98802192,
Program - SYPRO Orange - All Samples,A07,Sample 7,FALSE,66.30956907,Positive,,1.440890534,34.10086391,22.88840546,32.65872758,
Program - SYPRO Orange - All Samples,A08,Sample 8,FALSE,66.42311833,Positive,,0.414575056,18.87588283,11.82991687,14.24421782,
Program - SYPRO Orange - All Samples,A09,Sample 9,FALSE,66.37535794,Positive,,0.386063529,15.63855661,9.909249323,12.15632479,
Program - SYPRO Orange - All Samples,A10,Sample 10,FALSE,66.1758303,Positive,,0.36591768,17.36509344,11.49253879,13.50769043,
Program - SYPRO Orange - All Samples,A11,Sample 11,FALSE,65.58692429,Positive,,0.323728632,17.9765388,11.72696768,13.41365911,
Program - SYPRO Orange - All Samples,A12,Sample 12,FALSE,65.48377427,Positive,,0.296744214,22.06744272,13.58062544,15.15507335,
Program - SYPRO Orange - All Samples,A13,Sample 13,FALSE,66.44460577,Positive,,0.283680191,14.54837219,8.994828034,10.48259432,
Program - SYPRO Orange - All Samples,A14,Sample 14,FALSE,62.10361287,Positive,,0.723587557,35.09430031,26.29056489,31.95379629,
Program - SYPRO Orange - All Samples,A15,Sample 15,FALSE,65.85051725,Positive,,0.254081051,25.01530893,17.03539094,18.54081504,
Program - SYPRO Orange - All Samples,A16,Sample 16,FALSE,66.68564674,Positive,,0.391208534,20.87226584,14.92606659,17.55065414,
Program - SYPRO Orange - All Samples,A17,Sample 17,FALSE,65.60328501,Positive,,0.426480882,22.63275061,16.53147879,19.52143784,
Program - SYPRO Orange - All Samples,A18,Sample 18,FALSE,66.23165485,Positive,,0.550532448,21.74452213,14.08250798,18.25478705,
Program - SYPRO Orange - All Samples,A19,Sample 19,FALSE,66.63196966,Positive,,0.752666163,23.29898401,14.92574041,19.84208422,
Program - SYPRO Orange - All Samples,A20,Sample 20,FALSE,66.65008142,Positive,,0.441183233,17.38780287,11.39808082,14.03138329,
Program - SYPRO Orange - All Samples,A21,Sample 21,FALSE,66.74232747,Positive,,0.319556104,15.88040241,9.948260451,11.71016207,
Program - SYPRO Orange - All Samples,A22,Sample 22,FALSE,66.33138819,Positive,,0.316647765,18.58012555,11.78260715,13.3962973,
Program - SYPRO Orange - All Samples,A23,Sample 23,FALSE,65.81787101,Positive,,0.282465205,20.76998656,13.29426329,14.70421725,
Program - SYPRO Orange - All Samples,A24,Sample 24,FALSE,65.67232847,Positive,,0.1207498,16.72505541,10.44616134,11.04430816,
Program - SYPRO Orange - All Samples,B01,Sample 25,FALSE,66.4833363,Positive,,0.610605417,30.91797714,15.69939143,18.77449713,
